@,@id,Start,Timestamp,Username,Source,Osm id,Name of Facility,Address,Phone Number,Operator Type,Facility Operator Name,Facility Location / latitude,Facility Location / longitude,Facility Location / altitude,Facility Location / accuracy,Operational Status,When is the facility open?,Which days is this facility open?,Open hours by day of the week / Enter open hours for each day:,Open hours by day of the week / Monday open hours,Open hours by day of the week / Tuesday open hours,Open hours by day of the week / Wednesday open hours,Open hours by day of the week / Thursday open hours,Open hours by day of the week / Friday open hours,Open hours by day of the week / Saturday open hours,Open hours by day of the week / Sunday open hours,Open hours by day of the week / Public Holiday open hours,Open hours by day of the week / Select hours,Enter weekday hours,OSM 'opening_hours',Opening hours,Verify the open hours are correct or go back and fix:,Facility Category,Available Services,Specialities,Speciality medical equipment available,Does this facility provide Emergency Services?,Does the pharmacy dispense prescription medication?,Number of Beds,Number of Doctors,Number of Nurses,Types of insurance accepted?,Is this facility wheelchair accessible?,What is the source of water for this facility?,What is the source of power for this facility?,URL for this location (if available),In which health are is the facility located?,In which health zone is the facility located?,UUID
33,222aa716-abb1-471d-b8b4-5e58c6fcdb22,2019-07-18T08:39:41.805000+00:00,2019-07-18T08:51:19.044000+00:00,Cheikhounabamba,HS-Gather-2019-Senegal,9f8cb0c1-7c3a-4567-b514-9123493ba81e,Poste de santé de Gandon,Gandon,+221779477030,public,Ministère de la santé et de l'action sociale ,15.96309671,-16.44680469,41,5,operational,oh_select,Mo Tu We Th Fr Sa,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset","08:30-14:00,15:00-16:00","08:30-14:00,15:00-16:00","08:30-14:00,15:00-16:00","08:30-14:00,15:00-16:00","08:30-14:00,15:00-16:00","08:30-14:00,15:00-16:00",,,"Mo 08:30-14:00,15:00-16:00; Tu 08:30-14:00,15:00-16:00; We 08:30-14:00,15:00-16:00; Th 08:30-14:00,15:00-16:00; Fr 08:30-14:00,15:00-16:00; Sa 08:30-14:00,15:00-16:00; Su off; PH off",,,"Mo 08:30-14:00,15:00-16:00; Tu 08:30-14:00,15:00-16:00; We 08:30-14:00,15:00-16:00; Th 08:30-14:00,15:00-16:00; Fr 08:30-14:00,15:00-16:00; Sa 08:30-14:00,15:00-16:00; Su off; PH off",,doctors,doctor pharmacy birthing_center,,,no,,5,0,6,public,no,water_works,grid,,,,355c6c27-af38-4f94-896a-136f41be2a54
34,20e42a0b-d9cc-4b91-94db-f8983dd15c50,2019-07-18T11:15:59.880000+00:00,2019-07-18T16:20:43.131000+00:00,KhadidiatouSonko,HS-Gather-2019-Senegal,afdba356-c86b-4e7c-9f82-9acf0c52465b,Case de santé de Ndiakhere,Ndiakhère,+221773362288,public,Ministère de la Santé et de l'action sociale,15.93412504,-16.45210356,25,5,operational,oh_select,Mo Tu Th We Fr,"08:00-13:00
08:00-11:00,12:30-15:00
sunrise-sunset",08:00-13:00,08:00-13:00,08:00-13:00,08:00-13:00,08:00-13:00,,,,Mo 08:00-13:00; Tu 08:00-13:00; We 08:00-13:00; Th 08:00-13:00; Fr 08:00-13:00; Sa off; Su off; PH off,,,Mo 08:00-13:00; Tu 08:00-13:00; We 08:00-13:00; Th 08:00-13:00; Fr 08:00-13:00; Sa off; Su off; PH off,,doctors,pharmacy,,,no,,0,0,0,no,no,water_works,none,,,,52ec2f57-e6ab-40c5-bf99-236f12043841
35,2e0b5e0e-96ea-4564-b1b6-77e71b3c6c36,2019-07-18T09:21:56.433000+00:00,2019-07-18T16:19:07.541000+00:00,KhadidiatouSonko,HS-Gather-2019-Senegal,1f1f8c0c-fd45-4ab9-83a7-8d7529f56a0f,Case de santé Ndiebene Toubé,Ndièbene Toubé,+221774055364,public,Ministère de la Santé et de l'action sociale,15.98485161,-16.44232482,30,5,operational,oh_select,Mo Tu We Th Fr,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,,,,Mo 09:00-18:00; Tu 09:00-18:00; We 09:00-18:00; Th 09:00-18:00; Fr 09:00-18:00; Sa off; Su off; PH off,,,Mo 09:00-18:00; Tu 09:00-18:00; We 09:00-18:00; Th 09:00-18:00; Fr 09:00-18:00; Sa off; Su off; PH off,,doctors,pharmacy,,,no,,0,0,0,no,no,water_works,none,,,,b61c57e5-9d50-42e5-bfc5-dc30517a4937
36,5a79c61e-9f8f-4505-a73a-29240f0d2da7,2019-07-18T13:33:37.502000+00:00,2019-07-18T14:06:38.983000+00:00,cheikhounacasset,HS-Gather-2019-Senegal,7e94af64-6470-4bf1-8c0f-1dff843d4be1,Case de santé keur Barka,keur Barka,,public,Ministère de la santé,15.96297702,-16.48134132,32,3,,oh_select,Tu Mo We Th Fr Sa Su,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,,Mo 09:00-18:00; Tu 09:00-18:00; We 09:00-18:00; Th 09:00-18:00; Fr 09:00-18:00; Sa 09:00-18:00; Su 09:00-18:00; PH off,,,Mo 09:00-18:00; Tu 09:00-18:00; We 09:00-18:00; Th 09:00-18:00; Fr 09:00-18:00; Sa 09:00-18:00; Su 09:00-18:00; PH off,,doctors,doctor,,,no,,0,0,0,no,no,,,,,,ffe060e1-3652-4f30-be66-bd20d980c9ee
37,8884ed9a-376b-4f19-aece-24aa4f191896,2019-07-18T12:11:33.078000+00:00,2019-07-18T12:15:25.731000+00:00,cheikhounacasset,HS-Gather-2019-Senegal,5590aaba-df40-4419-b456-58b6595bb3fd,Case de santé de Mbaultim,Case de santé de Mbaultim,,public,Ministère de la santé ,15.84411941,-16.43798995,45,5,operational,oh_select,Mo Tu We Th Fr Sa Su,"09:00-18:00
","09:00-18:00
","09:00-18:00
","09:00-18:00
","09:00-18:00
","09:00-18:00
","09:00-18:00
","09:00-18:00
",,"Mo 09:00-18:00
; Tu 09:00-18:00
; We 09:00-18:00
; Th 09:00-18:00
; Fr 09:00-18:00
; Sa 09:00-18:00
; Su 09:00-18:00
; PH off",,,"Mo 09:00-18:00
; Tu 09:00-18:00
; We 09:00-18:00
; Th 09:00-18:00
; Fr 09:00-18:00
; Sa 09:00-18:00
; Su 09:00-18:00
; PH off",,doctors,doctor,,,no,,0,0,0,no,no,well,other,,,,a4ae8f89-b6af-4d64-9a9d-33835a837847
38,3af3bea7-cb8a-4e9d-b716-350e1283cf9c,2019-07-18T10:55:10.272000+00:00,2019-07-18T11:25:40.385000+00:00,cheikhounacasset,HS-Gather-2019-Senegal,fb919df9-6cde-4113-ba10-b696cbbaa580,Case de santé de Ndiallakhar peulh,Ndiallakhar peulh,,public,Ministère de la santé,15.98820692,-16.35756676,40,5,operational,oh_select,Mo Th Fr We Tu Sa Su,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,,Mo 09:00-18:00; Tu 09:00-18:00; We 09:00-18:00; Th 09:00-18:00; Fr 09:00-18:00; Sa 09:00-18:00; Su 09:00-18:00; PH off,,,Mo 09:00-18:00; Tu 09:00-18:00; We 09:00-18:00; Th 09:00-18:00; Fr 09:00-18:00; Sa 09:00-18:00; Su 09:00-18:00; PH off,,doctors,doctor,,,no,,0,0,0,no,no,well,solar,,,,34aa1fb6-79b1-4e49-b4f1-e83590ef3524
39,78b1c73b-dc41-4ddd-b98b-b96cf175f17f,2019-07-18T10:47:47.838000+00:00,2019-07-18T11:26:19.229000+00:00,cheikhounacasset,HS-Gather-2019-Senegal,a46a8d77-ec4b-45a1-979c-d0a5ff1e5d1a,Case de santé de ngui guelakhe wolof,ngui guelakhe wolof,,public,Ministère de la santé,15.93652625,-16.37666199,24,5,operational,oh_select,Mo Tu We Th Fr Sa Su,09:00-18:0,09:00-18:0,09:00-18:0,09:00-18:0,09:00-18:0,09:00-18:0,09:00-18:0,09:00-18:0,,Mo 09:00-18:0; Tu 09:00-18:0; We 09:00-18:0; Th 09:00-18:0; Fr 09:00-18:0; Sa 09:00-18:0; Su 09:00-18:0; PH off,,,Mo 09:00-18:0; Tu 09:00-18:0; We 09:00-18:0; Th 09:00-18:0; Fr 09:00-18:0; Sa 09:00-18:0; Su 09:00-18:0; PH off,,doctors,doctor,,,no,,0,0,0,no,no,well,grid,,,,cf5039d1-b6fa-4a4e-bf4e-bd1408d27062
40,fb5adb2b-ef96-494d-9cae-55ab8416d33f,2019-07-18T09:38:31.168000+00:00,2019-07-18T11:26:30.920000+00:00,cheikhounacasset,HS-Gather-2019-Senegal,3ef79942-2fff-48f3-99ae-1abea34ca475,Maternité de Rao,Rao,,public,Ministère de la santé,15.91973059,-16.39743696,42,5,operational,oh_24_7,,,,,,,,,,,,,,24/7,,doctors,birthing_center,,emergency_department,yes,,2,0,1,no,yes,water_works,grid,,,,586f37d4-b9d5-426c-900e-eb7c01eac44f
41,2137b213-7697-4223-9475-8be2eecdcd06,2019-07-18T10:49:57.275000+00:00,2019-07-18T11:25:09.958000+00:00,NdeyeKhadyNdoye,HS-Gather-2019-Senegal,e476f2f5-20d5-4d4a-aefa-d0c09c5ac100,"Zone militaire n°2
Centre médical Garnison Saint-Louis","Nord, Saint-Louis",+221339613940,government,Zone militaire Garnison,16.03433799,-16.50345035,33,5,operational,oh_24_7,,,,,,,,,,,,,,24/7,,doctors,laboratory doctor pharmacy alternative,,laboratory mri emergency_department,yes,,16,4,21,private public,yes,water_works,grid,,,,84dfd16a-86bd-48d0-adce-9c62e8850a55
42,2fb2785d-6df0-453f-8964-76c9be34483e,2019-07-18T10:33:19.795000+00:00,2019-07-18T11:18:23.773000+00:00,NdeyeKhadyNdoye,HS-Gather-2019-Senegal,eb2a3a84-056b-48f2-881c-3d12c2eba8aa,Pharmacie RAZAKH,"Nord, Saint-Louis",+221339616566,private,Docteur Aminata B.DIAGNE,16.03295795,-16.50381102,36,5,operational,oh_select,Mo Tu We Th Fr Sa,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset","08:00-11:00,12:30-22:00",08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,,,"Mo 08:00-11:00,12:30-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-22:00; Su off; PH off",,,"Mo 08:00-11:00,12:30-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-22:00; Su off; PH off",,pharmacy,pharmacy,,,,yes,,,,no,no,water_works,grid,,,,4cdafe33-48dc-481c-ad12-e052b9448d70
43,fff43ae1-bf26-4b27-ae96-994b4fbe5f1e,2019-07-18T10:19:34.349000+00:00,2019-07-18T11:34:39.293000+00:00,NdeyeKhadyNdoye,HS-Gather-2019-Senegal,1e9d0ee4-0a90-4c9a-8c99-fdf5f4864a67,Clinique Médicale Dr VENN,"Nord, rue Ablaye Seck Marie Parsine",,private,Docteur Charles VENN,16.02824652,-16.50410908,35,6,operational,oh_select,Mo Tu We Th Fr,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",09:00-14:00,09:00-14:00,09:00-14:00,09:00-14:00,09:00-14:00,,,,Mo 09:00-14:00; Tu 09:00-14:00; We 09:00-14:00; Th 09:00-14:00; Fr 09:00-14:00; Sa off; Su off; PH off,,,Mo 09:00-14:00; Tu 09:00-14:00; We 09:00-14:00; Th 09:00-14:00; Fr 09:00-14:00; Sa off; Su off; PH off,,clinic,doctor clinic,,,,,,1,,private,no,water_works,grid,,,,fc1896eb-0d2a-4aaa-8b69-78da8db57d70
44,7d78d6d3-24d5-43a2-be0e-fe7634490f06,2019-07-18T09:56:42.556000+00:00,2019-07-18T10:14:51.727000+00:00,NdeyeKhadyNdoye,HS-Gather-2019-Senegal,eafec67e-6e1a-460e-989a-62f9221eba7c,Cabinet Dentaire Horizon 2050,"Nord, rue de France en face la BICIS",,private,Docteur Abdoulaye NDOYE,16.02719426,-16.50503377,29,8,operational,oh_select,Mo Tu We Th Fr Sa,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset","08:30-13:00,15:00-18:00","08:30-13:00,15:00-18:00","08:30-13:00,15:00-18:00","08:30-13:00,15:00-18:00","08:30-13:00,15:00-18:00","08:30-13:00,15:00-18:00",,,"Mo 08:30-13:00,15:00-18:00; Tu 08:30-13:00,15:00-18:00; We 08:30-13:00,15:00-18:00; Th 08:30-13:00,15:00-18:00; Fr 08:30-13:00,15:00-18:00; Sa 08:30-13:00,15:00-18:00; Su off; PH off",,,"Mo 08:30-13:00,15:00-18:00; Tu 08:30-13:00,15:00-18:00; We 08:30-13:00,15:00-18:00; Th 08:30-13:00,15:00-18:00; Fr 08:30-13:00,15:00-18:00; Sa 08:30-13:00,15:00-18:00; Su off; PH off",,dentist,dentist,,laboratory,yes,,1,3,,private,yes,water_works,grid,,,,14b46cc1-f077-4a2b-a28f-17b7847dc21d
45,5cfdd9ee-30c5-4e2b-b091-6814ad5cd984,2019-07-18T09:36:34.496000+00:00,2019-07-18T11:22:40.101000+00:00,NdeyeKhadyNdoye,HS-Gather-2019-Senegal,cd0c1830-5b35-4f07-8eb0-c5a41aad675c,Pharmacie Centrale,"Nord, rue Khalifa Ababacar SARR",+221339613327,private,Docteur O. BAO,16.0266887,-16.50483806,37,7,operational,oh_select,Mo Tu Th We Fr,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa off; Su off; PH off,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa off; Su off; PH off,,pharmacy,pharmacy,,,no,yes,,1,,no,yes,water_works,grid,,,,da6ea6f8-797b-4832-bafb-9215d554f1a3
46,ba7db9df-2a14-46d5-b615-55e36d0a8867,2019-07-18T11:02:51.716000+00:00,2019-07-18T11:09:19.972000+00:00,Ibou1003,HS-Gather-2019-Senegal,500bfc52-21a5-4035-81bc-ee83a42eddc1,Pharmacie Kandji,,+221339611095,private,Private,16.02682005,-16.50507267,30,5,operational,oh_select,Tu We Th Mo Fr Sa,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-22:00; Su off; PH off,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-22:00; Su off; PH off,,pharmacy,pharmacy,,,no,yes,,,,unknown,no,water_works,grid,,,,21a0b99a-1c4e-48c4-acb1-7483c9918dda
47,0347d7ca-14c1-424e-88e0-693d8887c5c6,2019-07-18T10:42:29.402000+00:00,2019-07-18T10:55:55.484000+00:00,Ibou1003,HS-Gather-2019-Senegal,0d4939f6-17e1-46bd-9d1d-2e25403d7279,Clinique Ndiaye,"Quai Henry Jay, île Sud",+221339613400,private,Private,16.02305523,-16.50410397,47,5,operational,oh_24_7,,,,,,,,,,,,,,24/7,,clinic,doctor optometrist birthing_center laboratory clinic dentist rehabilitation,,ultrasound operating_theater laboratory imaging_equipment emergency_department intensive_care_unit,yes,,,,,unknown,yes,water_works,grid,,,,97135654-fe93-4f45-bcde-c30838412b58
48,e52bb55c-01d6-4440-9692-7782da372b45,2019-07-17T11:04:15.224000+00:00,2019-07-17T18:32:30.526000+00:00,KhadidiatouSonko,HS-Gather-2019-Senegal,d882f1c8-327e-4b3a-9518-0dd727e32418,Pharmacie Guet Ndarienne,Rue poto,+221339616473,private,Dr Astou Niang Wade,16.02242885,-16.508768,35,5,operational,oh_select,Mo Tu We Th Fr Sa,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-13:00,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,pharmacy,pharmacy,,,no,yes,,2,,no,no,water_works,grid,,,,2d42486d-c75c-4b45-8fed-f6bf3d96af64
49,0f24f063-32e3-487f-8019-10da8468a6ef,2019-07-17T10:42:55.645000+00:00,2019-07-17T18:32:46.265000+00:00,KhadidiatouSonko,HS-Gather-2019-Senegal,02d6dc25-c686-4883-a1b7-a981c24ef9b3,Pharmacie Rokhaya Gaye,Guet Ndar en face monument,+221339618657,private,Dr Thioro Diagne,16.02612707,-16.50842668,32,5,operational,oh_select,We Mo Tu Th Fr Sa,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-13:00,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,pharmacy,pharmacy,,,no,yes,0,1,0,private,no,water_works,grid,,,,b8dac429-98a3-4584-94b9-68d4075c16a7
50,156d61d1-f262-4024-924e-0081cc76ef7b,2019-07-17T10:07:22.865000+00:00,2019-07-17T18:32:25.270000+00:00,KhadidiatouSonko,HS-Gather-2019-Senegal,0f9b1bb6-e3d5-4856-87f6-e96b5c4a5c95,Pharmacie Bineta Diagne,Avenue Ndar Toute,+221339612381,private,Dr Ndeye Awa Diagne,16.02910244,-16.50807733,55,5,operational,oh_select,Mo Tu We Th Fr Sa PH,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-13:00,,08:00-22:00,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH 08:00-22:00,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH 08:00-22:00,,pharmacy,pharmacy,,,no,yes,0,1,1,private,no,water_works,grid,,,,ed205dcc-866b-438e-80c3-f9a6f86fec79
51,dedbc133-c242-48f3-a864-5f386fafafb8,2019-07-17T15:30:51.843000+00:00,2019-07-17T18:32:04.598000+00:00,KhadidiatouSonko,HS-Gather-2019-Senegal,72fff6ec-8c06-4495-b807-e82c137cf48f,Poste de Santé Sud,Rue Bourmeister,+221773553322,public,Ministère de la Santé et de l'action sociale,16.02278131,-16.50533661,48,5,operational,oh_select,Mo Tu We Th Fr,"08:00-16:00
08:00-11:00,12:30-15:00
sunrise-sunset",08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,,,,Mo 08:00-16:00; Tu 08:00-16:00; We 08:00-16:00; Th 08:00-16:00; Fr 08:00-16:00; Sa off; Su off; PH off,,,Mo 08:00-16:00; Tu 08:00-16:00; We 08:00-16:00; Th 08:00-16:00; Fr 08:00-16:00; Sa off; Su off; PH off,,doctors,doctor,,ultrasound,no,,0,0,3,public,no,water_works,grid,,,,74959c5c-27ab-4053-a9a3-d3df07b586ac
52,135830cd-dd5f-4e48-b7c4-57d781b2943f,2019-07-17T15:22:14.512000+00:00,2019-07-17T18:31:58.336000+00:00,KhadidiatouSonko,HS-Gather-2019-Senegal,5e9f8115-bf58-4789-9c5f-318b761ee1d3,Pharmacie Serigne Abdoul Aziz Sy,"Quartizr Sud, rue Bourmeister",+221339613129,private,Dr Mansour Diene,16.02267641,-16.50503864,34,5,operational,oh_select,Mo Tu We Th Fr Sa,"08:00-22:00
08:00-11:00,12:30-15:00
sunrise-sunset",08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-13:00,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,pharmacy,pharmacy,,,no,yes,,2,,public private,no,water_works,grid,,,,dbbf3a84-a9ed-4eb3-a319-a00538c4463c
53,45a7dfa3-6127-428b-b625-ddcf48db7dbe,2019-07-17T10:27:14.595000+00:00,2019-07-17T18:31:52.658000+00:00,KhadidiatouSonko,HS-Gather-2019-Senegal,efddefbf-bd01-46bb-b302-3d616b3836f8,Poste de Santé  Ndar Toute,Avenue Ndar Toute,+221775158164,public,Ministère de la Santé et de l'action sociale,16.0286367,-16.50825201,28,5,operational,oh_24_7,,,,,,,,,,,,,,24/7,,doctors,doctor pharmacy birthing_center,,,no,,9,0,5,public,yes,water_works,grid,,,,be4bff67-4660-4816-b4da-053a283717db
54,ad6117d2-14c0-4d36-b627-2f07c3a3014c,2019-07-16T14:54:48.175000+00:00,2019-07-17T18:31:47.868000+00:00,KhadidiatouSonko,HS-Gather-2019-Senegal,ba4fc35b-9f65-4994-a4f3-1587bd04a3bc,Pharmacie Cheikh Ousmane Mbacke,Route de khor,+221339612368,private,Dr Moussé Fall,16.02539978,-16.48771324,37,5,operational,oh_select,Mo Tu We Th Fr Sa,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",08:00- 22:00,08:00- 22:00,08:00- 22:00,08:00- 22:00,08:00- 22:00,08:00- 13:00,,,Mo 08:00- 22:00; Tu 08:00- 22:00; We 08:00- 22:00; Th 08:00- 22:00; Fr 08:00- 22:00; Sa 08:00- 13:00; Su off; PH off,,,Mo 08:00- 22:00; Tu 08:00- 22:00; We 08:00- 22:00; Th 08:00- 22:00; Fr 08:00- 22:00; Sa 08:00- 13:00; Su off; PH off,,pharmacy,pharmacy,,,no,yes,0,0,0,public private,no,water_works,grid,,,,c7b34aa1-ec6e-4dbb-9843-01e731c1aeb1
55,04225a3b-d543-437c-99e0-6f42614a35ec,2019-07-17T11:41:45.197000+00:00,2019-07-17T18:25:20.104000+00:00,Cheikhounabamba,HS-Gather-2019-Senegal,879d585a-ffb8-4c3e-8627-969eb37ab2ca,Poste de santé de Guet-Ndar,Guet Ndar rue Fara Gaye,+221339616701,public,Ministère de la santé et de l'action sociale,16.01924054,-16.50918726,44,8,operational,oh_24_7,,,,,,,,,,,,,,24/7,,doctors,doctor pharmacy birthing_center,,ultrasound,no,,8,0,3,public private,no,water_works,grid,,,,5cca7b5b-4104-4674-93c7-1ef869fbaaa9
56,d5b8e5af-4566-4309-b8e6-c00d445c0d04,2019-07-17T13:18:05.184000+00:00,2019-07-17T18:25:01.685000+00:00,Cheikhounabamba,HS-Gather-2019-Senegal,a775556d-e3fb-44d4-9ed9-e2024e4bae3f,Hôpital régional de Saint-Louis,Ile de Saint-Louis Quartier Sud Boulevard Abdoulaye Mar Diop,+221775220240,public,Ministère de la santè et de l'action sociale,16.02319106,-16.50590692,33,5,operational,oh_24_7,,,,,,,,,,,,,,24/7,,hospital,doctor pharmacy hospital dentist physiotherapist alternative laboratory optometrist birthing_center,,x_ray ultrasound operating_theater dialysis laboratory imaging_equipment intensive_care_unit emergency_department,yes,,223,47,254,public private,no,water_works,grid,,,,ac26fb29-3c03-4cfb-85f4-360c23629562
57,4705f2ae-b296-46e6-a057-c03be83e1fce,2019-07-17T09:46:21.514000+00:00,2019-07-17T18:24:52.109000+00:00,Cheikhounabamba,HS-Gather-2019-Senegal,199866bc-d70a-4bf4-a6aa-e2475412c155,Pharmacie Khalifa Ababacar Sy,Boulevard Cheikh Abdoulaye Dièye GMB O1,+221339590829,private,Dr Adama Boye,16.03946314,-16.50659868,39,6,operational,oh_select,Mo Tu We Th Fr Sa PH,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-13:00,,08:00-22:00,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH 08:00-22:00,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH 08:00-22:00,,pharmacy,pharmacy,,,no,yes,,1,,no,no,water_works,grid,,,,ebe9c3b8-68be-4084-af1e-2c0c990491e4
58,b3802cc1-fa38-4f58-93a9-73afc7c09c17,2019-07-17T16:20:04.108000+00:00,2019-07-17T18:23:36.087000+00:00,mhddiallo,HS-Gather-2019-Senegal,430e1c2b-b96b-41f9-a22b-98ccdcb3b8c5,Case de sante de Ricott,Ricott,,public,Ministère de la santé,15.86532097,-16.48840098,34,5,operational,oh_24_7,,,,,,,,,,,,,,24/7,,doctors,alternative,,intensive_care_unit,no,,,,1,no,no,,none,,,,74346d4a-0dbf-48cb-ae78-d90cf16a7a9b
59,3b30c02e-c0b9-4fde-b59b-010f829bd870,2019-07-17T14:08:54.090000+00:00,2019-07-17T18:23:31.185000+00:00,mhddiallo,HS-Gather-2019-Senegal,d6fc0dfd-d082-4c12-8cf7-082c3f2943e7,Case de sante de Darou Moumbaye,Darou Moumbaye,+221777971388,public,Ministère de la sante,15.83984472,-16.51329892,28,5,operational,oh_24_7,,,,,,,,,,,,,,24/7,,doctors,alternative,,intensive_care_unit,,,0,,1,no,no,water_works,none,,,,ef198845-6f6e-4559-885c-20ff3c7e6f16
60,a381a662-d7aa-47c1-aa9e-61a160f89ba2,2019-07-17T11:49:06.631000+00:00,2019-07-17T18:23:24.705000+00:00,mhddiallo,HS-Gather-2019-Senegal,ae0be9fd-4a45-447c-a294-d5285a01baa8,Case de sante de Mouit,Mouit,+221775235782,public,Ministère de la santé,15.86676647,-16.50679196,36,5,operational,oh_24_7,,,,,,,,,,,,,,24/7,,doctors,birthing_center alternative pharmacy,,intensive_care_unit emergency_department,yes,,5,,1,no,no,water_works,grid,,,,9c665932-41e9-45ae-bad0-a200802dbef2
61,b45fefc2-dc76-45be-a9ed-0b9013dedce4,2019-07-17T10:49:15.251000+00:00,2019-07-17T18:23:18.297000+00:00,mhddiallo,HS-Gather-2019-Senegal,8408f78a-5173-48d8-8adf-f4600bd61440,Pharmacie Gandiol,Tassinere,+221773725845,private,Dr Ahmadou Anta Mar,15.88768301,-16.50705549,40,5,operational,oh_select,Mo Tu We Th Fr Sa,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-22:00; Su off; PH off,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-22:00; Su off; PH off,,pharmacy,pharmacy doctor,,,,yes,,,,public private,yes,water_works,grid,,,,d84b40d8-0a8d-422e-b5b5-f0a1aee86b57
